0 38 62
1 22 78
2 16 84
3 14 86
4 7 93
5 5 95
6 4 96
7 2 98
8 2 98
9 2 98
10 2 98
11 2 98
12 1 99
13 0 100
14 0 100
15 0 100
16 0 100
17 0 100
18 0 100
19 0 100
20 0 100
21 0 100
22 0 100
23 0 100
24 0 100
25 33 67
26 59 41
27 73 27
28 76 24
29 83 17
30 90 10
31 93 7
32 94 6
33 95 5
34 73 27
35 68 32
36 58 42
37 47 53
38 37 63
39 36 64
40 29 71
41 26 74
42 46 54
43 65 35
44 75 25
45 81 19
46 89 11
47 92 8
48 94 6
49 97 3
50 97 3
51 88 12
52 70 30
53 54 46
54 26 74
55 18 82
56 14 86
57 9 91
58 7 93
59 5 95
60 37 63
61 56 44
62 70 30
63 76 24
64 82 18
65 87 13
66 90 10
67 92 8
68 93 7
69 94 6
70 97 3
71 98 2
72 98 2
73 85 15
74 73 27
75 60 40
76 49 51
77 46 54
78 67 33
79 81 19
80 85 15
81 70 30
82 62 38
83 55 45
84 47 53
85 44 56
86 40 60
87 50 50
88 64 36
89 77 23
90 84 16
91 90 10
92 92 8
93 95 5
94 95 5
95 85 15
96 69 31
97 53 47
98 32 68
99 26 74
