0 10109 14649
1 6951 14643
2 5965 14297
3 4691 14322
4 3290 12063
5 2245 12101
6 1770 10683
7 1007 11104
8 424 9842
9 2188 8096
10 3162 7881
11 3712 8135
12 1277 10862
13 935 9179
14 2499 8160
15 3729 8202
16 1200 10575
17 748 9716
18 2736 8082
19 3982 7654
20 3797 9751
21 3322 8866
22 3039 8578
23 2734 8630
24 2340 8142
25 4561 5983
26 6123 5468
27 6526 7343
28 3712 10660
29 3272 9303
30 5547 6424
31 7579 5557
32 8271 6756
33 4829 10735
34 3962 10189
35 6647 7199
36 7972 7101
37 8559 8328
38 5383 11797
39 5091 10234
40 7974 6836
41 9532 6669
42 9981 8245
43 5696 13299
44 5686 11125
45 8893 7722
46 10737 7338
47 11173 8550
48 6561 13699
49 6021 12587
50 9987 8089
51 9780 10221
52 10243 7751
53 11670 8022
54 7138 12897
55 6561 11757
56 9889 8265
57 11074 8558
58 7171 12965
59 6159 12557
60 8718 9881
61 9997 9754
62 12597 8336
63 12755 9981
64 8648 14304
65 7450 14371
66 7259 12570
67 10594 8974
68 11724 9341
69 7089 14924
70 7590 12047
71 7463 14210
72 7066 13063
73 10741 8766
74 11510 9616
75 7765 13828
76 6925 13244
77 11088 8731
78 11399 10331
79 7542 14351
80 6977 12932
81 11059 8778
82 12567 8329
83 13216 9565
84 8211 15312
85 7176 14826
86 11281 10527
87 14686 7688
88 13628 10834
89 13687 8839
90 13840 10842
91 8505 16544
92 7590 15862
93 13352 9125
94 13140 11444
95 12530 10640
96 12488 9353
97 11646 10011
98 10931 8567
99 10066 8538
